metric,role,variant_id,units,value,source_field_id,source_label,excel_row
heat_demand,result,code_minumum,kWh,38912.5724541,certification_results.heat_demand,Heat Demand,459
heat_demand,limit,code_minumum,kWh,7383.04845968,certification_limits.heat_demand_limit,Heat Demand Limit,363
sensible_cooling_demand,result,code_minumum,kWh,1617.81759328,certification_results.sensible_cooling_demand,Sensible Cooling Demand,460
sensible_cooling_demand,limit,code_minumum,kWh,3818.8181688,certification_limits.sensible_cooling_demand_limit,Sensible Cooling Demand Limit,364
latent_cooling_demand,result,code_minumum,kWh,0,certification_results.latent_cooling_demand,Latent Cooling Demand,461
latent_cooling_demand,limit,code_minumum,kWh,2927.39550749,certification_limits.latent_cooling_demand_limit,Latent Cooling Demand Limit,365
total_cooling_demand,result,code_minumum,kWh,1617.81759328,certification_results.total_cooling_demand,Total Cooling Demand,462
total_cooling_demand,limit,code_minumum,kWh,6746.21367629,certification_limits.total_cooling_demand_limit,Total Cooling Demand Limit,366
peak_heat_load,result,code_minumum,W,15428.9506235,certification_results.peak_heat_load,Peak Heat Load,463
peak_heat_load,limit,code_minumum,W,4582.58180256,certification_limits.peak_heat_load_limit,Peak Heat Load Limit,367
peak_cooling_load,result,code_minumum,W,2869.11838333,certification_results.peak_cooling_load,Peak Cooling Load,464
peak_cooling_load,limit,code_minumum,W,2489.67409482,certification_limits.peak_cooling_load_limit,Peak Cooling Load Limit,368
pe_demand,result,code_minumum,kWh,73100.6332957,certification_results.pe_demand,PE Demand,465
pe_demand,limit,code_minumum,kWh,0,certification_limits.pe_limit,PE Limit,369
per_demand,result,code_minumum,kWh,63775.383654,certification_results.per_demand,PER Demand,466
per_demand,limit,code_minumum,kWh,0,certification_limits.per_limit,PER Limit,370
phius_net_source_energy,limit,code_minumum,kWh,25875.0000001,certification_limits.phius_net_source_energy_limit,PHIUS Net Source Energy Limit,371
heat_demand,result,improved,kWh,19837.4585451,certification_results.heat_demand,Heat Demand,459
heat_demand,limit,improved,kWh,7383.04845968,certification_limits.heat_demand_limit,Heat Demand Limit,363
sensible_cooling_demand,result,improved,kWh,953.148741447,certification_results.sensible_cooling_demand,Sensible Cooling Demand,460
sensible_cooling_demand,limit,improved,kWh,3818.8181688,certification_limits.sensible_cooling_demand_limit,Sensible Cooling Demand Limit,364
latent_cooling_demand,result,improved,kWh,0,certification_results.latent_cooling_demand,Latent Cooling Demand,461
latent_cooling_demand,limit,improved,kWh,2927.39550749,certification_limits.latent_cooling_demand_limit,Latent Cooling Demand Limit,365
total_cooling_demand,result,improved,kWh,953.148741447,certification_results.total_cooling_demand,Total Cooling Demand,462
total_cooling_demand,limit,improved,kWh,6746.21367629,certification_limits.total_cooling_demand_limit,Total Cooling Demand Limit,366
peak_heat_load,result,improved,W,9041.80092151,certification_results.peak_heat_load,Peak Heat Load,463
peak_heat_load,limit,improved,W,4582.58180256,certification_limits.peak_heat_load_limit,Peak Heat Load Limit,367
peak_cooling_load,result,improved,W,2280.29164592,certification_results.peak_cooling_load,Peak Cooling Load,464
peak_cooling_load,limit,improved,W,2489.67409482,certification_limits.peak_cooling_load_limit,Peak Cooling Load Limit,368
pe_demand,result,improved,kWh,41452.736422,certification_results.pe_demand,PE Demand,465
pe_demand,limit,improved,kWh,0,certification_limits.pe_limit,PE Limit,369
per_demand,result,improved,kWh,34242.8714289,certification_results.per_demand,PER Demand,466
per_demand,limit,improved,kWh,0,certification_limits.per_limit,PER Limit,370
phius_net_source_energy,limit,improved,kWh,25875.0000001,certification_limits.phius_net_source_energy_limit,PHIUS Net Source Energy Limit,371
heat_demand,result,r_35_walls_r_59_roof,kWh,16945.6492804,certification_results.heat_demand,Heat Demand,459
heat_demand,limit,r_35_walls_r_59_roof,kWh,7383.04845968,certification_limits.heat_demand_limit,Heat Demand Limit,363
sensible_cooling_demand,result,r_35_walls_r_59_roof,kWh,887.169248377,certification_results.sensible_cooling_demand,Sensible Cooling Demand,460
sensible_cooling_demand,limit,r_35_walls_r_59_roof,kWh,3818.8181688,certification_limits.sensible_cooling_demand_limit,Sensible Cooling Demand Limit,364
latent_cooling_demand,result,r_35_walls_r_59_roof,kWh,0,certification_results.latent_cooling_demand,Latent Cooling Demand,461
latent_cooling_demand,limit,r_35_walls_r_59_roof,kWh,2927.39550749,certification_limits.latent_cooling_demand_limit,Latent Cooling Demand Limit,365
total_cooling_demand,result,r_35_walls_r_59_roof,kWh,887.169248377,certification_results.total_cooling_demand,Total Cooling Demand,462
total_cooling_demand,limit,r_35_walls_r_59_roof,kWh,6746.21367629,certification_limits.total_cooling_demand_limit,Total Cooling Demand Limit,366
peak_heat_load,result,r_35_walls_r_59_roof,W,8055.48450603,certification_results.peak_heat_load,Peak Heat Load,463
peak_heat_load,limit,r_35_walls_r_59_roof,W,4582.58180256,certification_limits.peak_heat_load_limit,Peak Heat Load Limit,367
peak_cooling_load,result,r_35_walls_r_59_roof,W,2141.9526065,certification_results.peak_cooling_load,Peak Cooling Load,464
peak_cooling_load,limit,r_35_walls_r_59_roof,W,2489.67409482,certification_limits.peak_cooling_load_limit,Peak Cooling Load Limit,368
pe_demand,result,r_35_walls_r_59_roof,kWh,37792.297143,certification_results.pe_demand,PE Demand,465
pe_demand,limit,r_35_walls_r_59_roof,kWh,0,certification_limits.pe_limit,PE Limit,369
per_demand,result,r_35_walls_r_59_roof,kWh,30506.6937712,certification_results.per_demand,PER Demand,466
per_demand,limit,r_35_walls_r_59_roof,kWh,0,certification_limits.per_limit,PER Limit,370
phius_net_source_energy,limit,r_35_walls_r_59_roof,kWh,25875.0000001,certification_limits.phius_net_source_energy_limit,PHIUS Net Source Energy Limit,371
heat_demand,result,r_52_walls,kWh,14608.789761,certification_results.heat_demand,Heat Demand,459
heat_demand,limit,r_52_walls,kWh,7383.04845968,certification_limits.heat_demand_limit,Heat Demand Limit,363
sensible_cooling_demand,result,r_52_walls,kWh,849.402628394,certification_results.sensible_cooling_demand,Sensible Cooling Demand,460
sensible_cooling_demand,limit,r_52_walls,kWh,3818.8181688,certification_limits.sensible_cooling_demand_limit,Sensible Cooling Demand Limit,364
latent_cooling_demand,result,r_52_walls,kWh,0,certification_results.latent_cooling_demand,Latent Cooling Demand,461
latent_cooling_demand,limit,r_52_walls,kWh,2927.39550749,certification_limits.latent_cooling_demand_limit,Latent Cooling Demand Limit,365
total_cooling_demand,result,r_52_walls,kWh,849.402628394,certification_results.total_cooling_demand,Total Cooling Demand,462
total_cooling_demand,limit,r_52_walls,kWh,6746.21367629,certification_limits.total_cooling_demand_limit,Total Cooling Demand Limit,366
peak_heat_load,result,r_52_walls,W,7241.23308805,certification_results.peak_heat_load,Peak Heat Load,463
peak_heat_load,limit,r_52_walls,W,4582.58180256,certification_limits.peak_heat_load_limit,Peak Heat Load Limit,367
peak_cooling_load,result,r_52_walls,W,2044.53365238,certification_results.peak_cooling_load,Peak Cooling Load,464
peak_cooling_load,limit,r_52_walls,W,2489.67409482,certification_limits.peak_cooling_load_limit,Peak Cooling Load Limit,368
pe_demand,result,r_52_walls,kWh,34840.810944,certification_results.pe_demand,PE Demand,465
pe_demand,limit,r_52_walls,kWh,0,certification_limits.pe_limit,PE Limit,369
per_demand,result,r_52_walls,kWh,27492.9311921,certification_results.per_demand,PER Demand,466
per_demand,limit,r_52_walls,kWh,0,certification_limits.per_limit,PER Limit,370
